Time;Input Voltage;Output Voltage;Input Frequency;Load;Battery Level;Temperature
09:50:28;240;212;50;0;100;30
09:50:58;240;212;50;0;100;30
09:51:28;238;212;50;0;100;30
09:51:58;242;214;50;0;100;30
09:52:28;244;214;50;0;100;30
09:52:58;242;214;50;0;100;30
09:53:28;250;220;50;0;100;30
09:53:58;246;216;50;0;100;30
09:54:28;248;218;50;0;100;30
09:54:58;248;218;50;0;100;30
09:55:28;252;222;50;0;100;30
09:55:58;250;220;50;0;100;30
09:56:28;250;220;50;0;100;30
09:56:58;250;220;50;0;100;30
09:57:28;254;222;50;0;100;30
09:57:58;250;220;50;0;100;30
09:58:28;246;216;50;0;100;30
09:58:58;248;220;50;0;100;30
09:59:28;248;218;50;0;100;30
09:59:58;248;218;50;0;100;30
10:00:28;240;212;50;0;100;30
10:00:58;236;210;50;0;100;30
10:01:28;242;212;50;0;100;30
10:01:58;238;210;50;0;100;30
10:02:28;240;212;50;0;100;30
10:02:58;238;210;50;0;100;30
10:03:28;236;208;50;0;100;30
10:03:58;238;212;50;0;100;30
10:04:28;238;212;50;0;100;30
10:04:58;236;208;50;0;100;30
10:05:28;234;234;50;0;100;30
10:05:58;230;230;50;0;100;30
10:06:28;230;230;50;0;100;30
10:06:58;230;230;50;0;100;30
10:07:28;236;236;50;0;100;30
10:07:58;236;236;50;0;100;30
10:08:28;238;238;50;0;100;30
10:08:58;234;234;50;0;100;30
10:09:28;234;234;50;0;100;30
10:09:58;234;234;50;0;100;30
10:10:28;226;226;50;0;100;30
10:10:58;224;224;50;0;100;30
10:11:28;216;216;50;0;100;30
10:11:58;202;232;50;0;100;30
10:12:28;192;222;50;0;100;30
10:12:58;192;222;50;0;100;30
10:13:28;192;224;50;0;100;30
10:13:58;186;218;50;0;100;30
10:14:28;170;198;50;0;100;30
10:14:58;162;220;50;0;97;30
10:15:28;160;220;50;0;78;30
10:15:58;170;0;50;0;89;30
10:16:28;162;0;50;0;100;30
10:16:58;160;0;50;0;100;30
10:17:28;160;0;50;0;100;30
10:17:58;158;0;50;0;100;30
10:18:28;152;0;50;0;100;30
10:18:58;230;230;50;0;100;30
10:19:28;228;228;50;0;100;30
10:19:58;230;230;50;0;100;30
10:20:28;234;234;50;0;100;30
10:20:58;234;234;50;0;100;30
10:21:28;238;238;50;0;100;30
10:21:58;236;208;50;0;100;30
10:22:28;230;230;50;0;100;30
10:22:58;226;226;50;0;100;30
10:23:28;216;216;50;0;100;30
10:23:58;190;220;50;0;100;30
10:24:28;190;220;50;0;100;30
10:24:58;180;208;50;0;100;30
10:25:28;176;206;50;0;100;30
10:25:58;170;192;50;0;100;30
10:26:28;170;220;50;0;89;30
10:26:58;166;220;50;0;69;30
10:27:28;162;0;50;0;100;30
10:27:58;166;0;50;0;100;30
10:28:28;166;0;50;0;100;31
10:28:58;166;0;50;0;100;30
10:29:28;170;0;50;0;100;30
10:29:58;170;0;50;0;100;30
10:30:28;164;0;50;0;100;30
10:30:58;152;0;50;0;100;30
10:31:28;230;230;50;0;100;30
10:31:58;226;226;50;0;100;30
10:32:28;230;230;50;0;100;30
