Time;Input Voltage;Output Voltage;Input Frequency;Load;Battery Level;Temperature
23:24:16;236;208;50;22;100;26
23:25:16;236;208;50;20;100;26
23:26:16;238;212;50;23;100;26
23:27:16;242;214;50;22;100;26
23:28:16;248;216;50;20;100;26
23:29:16;238;210;50;19;100;27
23:30:16;240;212;50;20;100;26
23:31:16;246;214;50;20;100;26
23:32:16;242;214;50;22;100;26
23:33:16;236;208;50;23;100;26
23:34:16;238;210;50;23;100;26
23:35:16;240;212;50;20;100;26
23:36:16;238;210;50;19;100;26
23:37:16;232;232;50;19;100;26
23:37:46;234;234;50;18;100;26
23:38:16;234;234;50;20;100;26
23:38:46;232;232;50;18;100;26
23:39:16;234;234;50;15;100;26
23:39:46;236;236;50;19;100;26
23:40:16;242;214;50;20;100;26
23:40:46;240;212;50;20;100;26
23:41:16;242;214;50;19;100;26
23:41:46;242;214;50;22;100;26
23:42:16;246;216;50;23;100;26
23:42:46;244;214;50;23;100;26
23:43:16;246;216;50;20;100;26
23:43:46;246;214;50;24;100;26
23:44:16;244;214;50;19;100;26
23:44:46;246;216;50;16;100;26
23:45:16;244;214;50;22;100;26
23:45:46;248;218;50;20;100;26
23:46:16;248;216;50;22;100;26
23:46:46;246;216;50;20;100;26
23:47:16;246;216;50;19;100;26
23:47:46;246;214;50;20;100;26
23:48:16;240;214;50;19;100;26
23:48:46;242;214;50;23;100;26
23:49:16;244;214;50;16;100;26
23:49:46;244;214;50;22;100;26
23:50:16;242;214;50;18;100;26
23:50:46;250;218;50;20;100;26
23:51:16;244;214;50;18;100;26
23:51:46;242;214;50;23;100;26
23:52:16;242;212;50;20;100;26
23:52:46;242;214;50;19;100;26
23:53:16;246;216;50;20;100;26
23:53:46;244;214;50;22;100;26
23:54:16;242;214;50;22;100;26
23:54:46;242;214;50;23;100;26
23:55:16;242;214;50;18;100;26
23:55:46;234;206;50;23;100;26
23:56:16;234;206;50;20;100;26
23:56:46;232;232;50;19;100;26
23:57:16;234;234;50;19;100;26
23:57:46;236;236;50;18;100;26
23:58:16;238;238;50;15;100;26
23:58:46;234;234;50;20;100;26
23:59:16;236;236;50;18;100;26
23:59:46;232;232;50;20;100;26
